@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
106.955,0.770933,452.09
107.605,0.771665,425
108.74,0.77455,395.86
108.965,0.77882,408.76
109.045,0.77942,399.55
109.045,0.77942,400.07
108.908,0.779335,438.97
108.904,0.778083,423.68
108.6665,0.78447,403.57
109.3655,0.788175,401.77
109.2875,0.78842,375.35
109.295,0.788395,374.2
109.4805,0.788069,391.09
109.662,0.792065,384.86
109.285,0.792971,374.68
109.707,0.798958,358.74
109.707,0.798958,326.21
109.707,0.798958,323.52
109.156,0.795096,328.59
108.306,0.791922,334.8
108.306,0.791922,355.73
108.429,0.788815,364.01
107.9605,0.788825,360.89
107.8785,0.79082,362
107.645,0.79189,378.11
107.645,0.79189,392.6
107.471,0.789002,403.38
107.115,0.78958,394.52
105.691,0.78089,383.95
106.045,0.780117,383.65
106.649,0.783055,390.58
106.885,0.78376,387.53
106.885,0.78376,381.21
106.875,0.782032,385.81
106.656,0.785305,382.04
107.259,0.789687,357.18
108.27,0.790798,358.86
108.06,0.789469,348.69
108.175,0.789265,355.18
108.175,0.789265,350
107.625,0.786355,356.96
108.083,0.784835,335.7
108.135,0.784001,346.14
108.981,0.79258,337.99
112.034,0.797875,324.7
112.331,0.79845,324.36
112.331,0.79845,325.5
113.915,0.800792,330.22
113.44,0.796511,338.38
114.627,0.800756,349.99
114.86,0.805938,342.16
114.715,0.804545,345.39
114.545,0.802825,364.77
114.545,0.802825,366.43
114.782,0.80458,370.65
115.556,0.803155,426.63
115.334,0.802276,420.93
115.6225,0.801491,399.98
116.546,0.800765,376.99
116.295,0.798405,389.86
116.295,0.798405,387.69
116.409,0.803084,374.88
116.732,0.797671,379.03
117.7215,0.79714,356.47
118.2,0.798384,351.2
117.6845,0.80692,353.12
117.835,0.807035,367.17
117.835,0.807035,375.99
118.3935,0.804176,377.37
117.966,0.801741,368.5
117.618,0.79961,369.98
117.7955,0.80152,376.86
118.695,0.80389,375.49
118.645,0.80312,377.01
118.645,0.80312,376.53
118.234,0.800987,379.52
119.169,0.80736,375.33
119.757,0.81215,369.16
119.574,0.8043,376
121.354,0.81296,374.38
121.425,0.813935,377.26
121.425,0.813935,361.3
120.8945,0.81309,352.03
119.0445,0.80577,345.21
118.593,0.805004,348.9
119.324,0.806062,352.24
118.466,0.802015,351.67
118.805,0.802375,356.52
118.805,0.802375,349
117.891,0.802292,329.05
117.405,0.800227,322
117.602,0.80601,312.67
118.7825,0.813935,318.33
119.585,0.81803,331.79
119.515,0.81769,320.01
119.515,0.81769,331.56
119.8455,0.81611,336.92
120.698,0.821254,323.06
120.451,0.820193,319.86
