@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
78.377,0.80889,5.22
78.175,0.806257,5.19
78.05,0.80493,5.19
78,0.80419,5.22
78.32,0.800897,5.37
78.75,0.8036,5.41
79.098,0.79675,5.53
79.609,0.793336,5.61
79.45,0.80007,5.48
79.49,0.79879,5.42
79.419,0.80016,5.71
79.445,0.79985,5.86
79.318,0.79375,5.9
79.32,0.793862,6.42
78.706,0.7913,6.41
78.71,0.79127,6.19
78.72,0.79124,6.06
79.102,0.7954,6.46
78.96,0.7863,6.64
79.57,0.7868,6.64
80.194,0.7956,6.59
80.46,0.796,6.45
80.43,0.79548,6.4
80.43,0.79548,6.26
79.584,0.8002,6.41
79.476,0.80074,6.49
79.71,0.80198,6.5
79.41,0.8051,6.52
79.86,0.79,6.61
79.82,0.7896,6.52
79.82,0.78986,6.61
79.44,0.79495,6.44
79.86,0.7934,6.44
79.83,0.7977,6.6
79.9,0.8073,6.59
79.72,0.81407,6.79
79.68,0.8137,6.73
79.64,0.812,7.08
79.44,0.81615,7.14
79.631,0.815927,7.59
79.327,0.8197,7.59
79.165,0.817027,7.55
79.22,0.81623,8.3
78.827,0.815013,8.55
79.052,0.815036,9
78.81,0.815368,8.76
78.594,0.8152,8.44
78.499,0.822511,8.74
78.5,0.82257,8.42
78.51,0.82261,8.59
78.44,0.8245,8.61
78.19,0.8296,8.64
78.172,0.8227,8.75
78.262,0.81405,8.83
78.64,0.810721,8.88
78.21,0.816,9.28
78.17,0.812358,9.45
78.13,0.812599,10.44
78.247,0.821963,10.79
78.604,0.808398,10.51
78.46,0.8073,10.71
78.48,0.8072,10.84
78.177,0.8066,10.75
78.69,0.8051,10.99
78.482,0.8092,11
78.56,0.814,11.32
78.22,0.8132,11.38
78.26,0.81361,11.49
78.29,0.81361,11.89
78.32,0.8111,12.25
78.77,0.8111,13.01
78.91,0.8141,13.42
79.38,0.8086,12.5
79.536,0.81187,11.54
79.57,0.81077,8.06
79.57,0.8106,10.05
79.383,0.8102,10.18
79.32,0.8017,9.96
79.159,0.80185,10.02
78.48,0.7956,10.37
78.679,0.79775,10.57
78.66,0.79911,10.31
78.7,0.79916,11
78.5,0.7955,10.78
