Time,
2014-10-05 00:00:00 UTC,0.245571692
2014-10-06 00:00:00 UTC,0.233466485
2014-10-07 00:00:00 UTC,0.256700709
2014-10-08 00:00:00 UTC,0.233905944
2014-10-09 00:00:00 UTC,0.23439662
2014-10-10 00:00:00 UTC,0.244873244
2014-10-11 00:00:00 UTC,0.217590196
2014-10-12 00:00:00 UTC,0.22283018
2014-10-13 00:00:00 UTC,0.244941494
2014-10-14 00:00:00 UTC,0.207552431
2014-10-15 00:00:00 UTC,0.182080867
2014-10-16 00:00:00 UTC,0.187554627
2014-10-17 00:00:00 UTC,0.173723686
2014-10-18 00:00:00 UTC,0.195400024
2014-10-19 00:00:00 UTC,0.187140814
2014-10-20 00:00:00 UTC,0.188409698
2014-10-21 00:00:00 UTC,0.208654407
2014-10-22 00:00:00 UTC,0.215597846
2014-10-23 00:00:00 UTC,0.24120318
2014-10-24 00:00:00 UTC,0.22223581
2014-10-25 00:00:00 UTC,0.198050002
2014-10-26 00:00:00 UTC,0.198984499
2014-10-27 00:00:00 UTC,0.20376895
2014-10-28 00:00:00 UTC,0.210836988
2014-10-29 00:00:00 UTC,0.235355158
2014-10-30 00:00:00 UTC,0.250054646
2014-10-31 00:00:00 UTC,0.231385475
2014-11-01 00:00:00 UTC,0.19085933
2014-11-02 00:00:00 UTC,0.224656929
2014-11-03 00:00:00 UTC,0.220160207
2014-11-04 00:00:00 UTC,0.242114831
2014-11-05 00:00:00 UTC,0.18960415
2014-11-06 00:00:00 UTC,0.227486101
2014-11-07 00:00:00 UTC,0.213552188
2014-11-08 00:00:00 UTC,0.193468593
2014-11-09 00:00:00 UTC,0.204594232
2014-11-10 00:00:00 UTC,0.20791185
2014-11-11 00:00:00 UTC,0.204506621
2014-11-12 00:00:00 UTC,0.168117389
2014-11-13 00:00:00 UTC,0.186958768
2014-11-14 00:00:00 UTC,0.211824067
2014-11-15 00:00:00 UTC,0.239414764
2014-11-16 00:00:00 UTC,0.236698207
2014-11-17 00:00:00 UTC,0.202501286
2014-11-18 00:00:00 UTC,0.248298831
2014-11-19 00:00:00 UTC,0.261024348
2014-11-20 00:00:00 UTC,0.221674354
2014-11-21 00:00:00 UTC,0.241536793
2014-11-22 00:00:00 UTC,0.217352262
2014-11-23 00:00:00 UTC,0.206865506
2014-11-24 00:00:00 UTC,0.187388749
2014-11-25 00:00:00 UTC,0.183332252
2014-11-26 00:00:00 UTC,0.18845877
2014-11-27 00:00:00 UTC,0.193839737
2014-11-28 00:00:00 UTC,0.20776233
2014-11-29 00:00:00 UTC,0.233257015
2014-11-30 00:00:00 UTC,0.269945803
2014-12-01 00:00:00 UTC,0.280017266
2014-12-02 00:00:00 UTC,0.239284738
2014-12-03 00:00:00 UTC,0.194072535
2014-12-04 00:00:00 UTC,0.15054572
2014-12-05 00:00:00 UTC,0.204191745
2014-12-06 00:00:00 UTC,0.238146758
2014-12-07 00:00:00 UTC,0.253078036
2014-12-08 00:00:00 UTC,0.216968346
2014-12-09 00:00:00 UTC,0.198860901
2014-12-10 00:00:00 UTC,0.218258316
2014-12-11 00:00:00 UTC,0.197006139
2014-12-12 00:00:00 UTC,0.215269453
2014-12-13 00:00:00 UTC,0.196224419
2014-12-14 00:00:00 UTC,0.216451489
2014-12-15 00:00:00 UTC,0.155068018
2014-12-16 00:00:00 UTC,0.20721738
2014-12-17 00:00:00 UTC,0.205906187
2014-12-18 00:00:00 UTC,0.211767852
2014-12-19 00:00:00 UTC,0.210543266
2014-12-20 00:00:00 UTC,0.180207257
2014-12-21 00:00:00 UTC,0.171276549
2014-12-22 00:00:00 UTC,0.205058937
2014-12-23 00:00:00 UTC,0.180643355
2014-12-24 00:00:00 UTC,0.180625094
2014-12-25 00:00:00 UTC,0.203833499
2014-12-26 00:00:00 UTC,0.219804272
2014-12-27 00:00:00 UTC,0.233919706
2014-12-28 00:00:00 UTC,0.216378571
2014-12-29 00:00:00 UTC,0.174574686
2014-12-30 00:00:00 UTC,0.200188656
2014-12-31 00:00:00 UTC,0.233964949
2015-01-01 00:00:00 UTC,0.151430644
2015-01-02 00:00:00 UTC,0.14714713
2015-01-03 00:00:00 UTC,0.169786533
2015-01-04 00:00:00 UTC,0.237635938
2015-01-05 00:00:00 UTC,0.236714156
2015-01-09 00:00:00 UTC,7.078667646
2015-01-10 00:00:00 UTC,0.115044816
2015-01-11 00:00:00 UTC,0.070547858
2015-01-12 00:00:00 UTC,0.113165692
2015-01-13 00:00:00 UTC,0.170414839
2015-01-14 00:00:00 UTC,0.202409299
2015-01-15 00:00:00 UTC,0.266349565
2015-01-16 00:00:00 UTC,0.195290871
2015-01-17 00:00:00 UTC,0.145479836
2015-01-18 00:00:00 UTC,0.328243415
2015-01-19 00:00:00 UTC,0.244289714
2015-01-20 00:00:00 UTC,0.242760632
2015-01-21 00:00:00 UTC,0.221879976
2015-01-22 00:00:00 UTC,0.237055845
2015-01-23 00:00:00 UTC,0.214022762
2015-01-24 00:00:00 UTC,0.267999612
2015-01-25 00:00:00 UTC,0.248792027
2015-01-26 00:00:00 UTC,0.29160548
2015-01-27 00:00:00 UTC,0.307674044
2015-01-28 00:00:00 UTC,0.280717983
2015-01-29 00:00:00 UTC,0.332010638
2015-01-30 00:00:00 UTC,0.283343698
2015-01-31 00:00:00 UTC,0.25109599
2015-02-01 00:00:00 UTC,0.301912766
2015-02-02 00:00:00 UTC,0.248877454
2015-02-03 00:00:00 UTC,0.242174284
2015-02-04 00:00:00 UTC,0.193261636
2015-02-05 00:00:00 UTC,0.222016255
2015-02-06 00:00:00 UTC,0.205524761
2015-02-07 00:00:00 UTC,0.220913402
2015-02-08 00:00:00 UTC,0.184191769
2015-02-09 00:00:00 UTC,0.188420799
2015-02-10 00:00:00 UTC,0.134759201
2015-02-11 00:00:00 UTC,0.098175253
2015-02-12 00:00:00 UTC,0.077556699
2015-02-13 00:00:00 UTC,0.135482279
2015-02-14 00:00:00 UTC,0.12097239
2015-02-15 00:00:00 UTC,0.137294671
2015-02-16 00:00:00 UTC,0.139243599
2015-02-17 00:00:00 UTC,0.161624677
2015-02-18 00:00:00 UTC,0.196914846
2015-02-19 00:00:00 UTC,0.193353459
2015-02-20 00:00:00 UTC,0.191146148
2015-02-21 00:00:00 UTC,0.145037205
2015-02-22 00:00:00 UTC,0.144992679
2015-02-23 00:00:00 UTC,0.14196158
2015-02-24 00:00:00 UTC,0.143672672
2015-02-25 00:00:00 UTC,0.113906822
2015-02-26 00:00:00 UTC,0.110858242
2015-02-27 00:00:00 UTC,0.119509187
2015-02-28 00:00:00 UTC,0.163371181
2015-03-01 00:00:00 UTC,0.127894867
2015-03-02 00:00:00 UTC,0.133879168
2015-03-03 00:00:00 UTC,0.152773698
2015-03-04 00:00:00 UTC,0.18157194
2015-03-05 00:00:00 UTC,0.165067718
2015-03-06 00:00:00 UTC,0.155479228
2015-03-07 00:00:00 UTC,0.128669865
2015-03-08 00:00:00 UTC,0.127057976
2015-03-09 00:00:00 UTC,0.133946558
2015-03-10 00:00:00 UTC,0.147402038
2015-03-11 00:00:00 UTC,0.171807348
2015-03-12 00:00:00 UTC,0.12484191
2015-03-13 00:00:00 UTC,0.13309266
2015-03-14 00:00:00 UTC,0.147110229
2015-03-15 00:00:00 UTC,0.149686554
2015-03-16 00:00:00 UTC,0.125843668
2015-03-17 00:00:00 UTC,0.166072509
2015-03-18 00:00:00 UTC,0.164745444
2015-03-19 00:00:00 UTC,0.14336152
2015-03-20 00:00:00 UTC,0.105069178
2015-03-21 00:00:00 UTC,0.088754069
2015-03-22 00:00:00 UTC,0.076780767
2015-03-23 00:00:00 UTC,0.107921798
2015-03-24 00:00:00 UTC,0.102709461
2015-03-25 00:00:00 UTC,0.111767638
2015-03-26 00:00:00 UTC,0.099821374
2015-03-27 00:00:00 UTC,0.1163835
2015-03-28 00:00:00 UTC,0.105661271
2015-03-29 00:00:00 UTC,0.090083415
2015-03-30 00:00:00 UTC,0.099379697
2015-03-31 00:00:00 UTC,0.083432455
2015-04-01 00:00:00 UTC,0.107061358
2015-04-02 00:00:00 UTC,0.093832888
2015-04-03 00:00:00 UTC,0.090889039
2015-04-04 00:00:00 UTC,0.075318126
2015-04-05 00:00:00 UTC,0.086516518
2015-04-08 00:00:00 UTC,0.067098214
2015-04-09 00:00:00 UTC,0.079941464
2015-04-10 00:00:00 UTC,0.108971331
2015-04-11 00:00:00 UTC,0.170250152
2015-04-12 00:00:00 UTC,0.132665432
2015-04-13 00:00:00 UTC,0.135433292
2015-04-14 00:00:00 UTC,0.135087697
2015-04-15 00:00:00 UTC,0.10039245
2015-04-16 00:00:00 UTC,0.084860739
2015-04-17 00:00:00 UTC,0.08063449
2015-04-18 00:00:00 UTC,0.065568533
2015-04-19 00:00:00 UTC,0.055903265
2015-04-20 00:00:00 UTC,0.049339734
2015-04-21 00:00:00 UTC,0.047885278
2015-04-22 00:00:00 UTC,0.065651017
2015-04-23 00:00:00 UTC,0.059204381
2015-04-24 00:00:00 UTC,0.047538415
2015-04-25 00:00:00 UTC,0.045416469
2015-04-26 00:00:00 UTC,0.059440467
2015-04-27 00:00:00 UTC,0.060042799
2015-04-28 00:00:00 UTC,0.0670027
2015-04-29 00:00:00 UTC,0.059983587
2015-04-30 00:00:00 UTC,0.061327374
2015-05-01 00:00:00 UTC,0.084589766
2015-05-02 00:00:00 UTC,0.074784943
2015-05-03 00:00:00 UTC,0.089368399
2015-05-04 00:00:00 UTC,0.091287599
2015-05-05 00:00:00 UTC,0.130849061
2015-05-06 00:00:00 UTC,0.180257075
2015-05-07 00:00:00 UTC,0.132538218
