Timestamp,Date,Avg Rate (%/day),Total Amount Active Swaps (USD)
1464129105,5/25/16 0:31,0.04062,29320413.04
1464125501,5/24/16 23:31,0.04073,29298448.2
1464121939,5/24/16 22:32,0.0408,29303287.36
1464118334,5/24/16 21:32,0.04081,29380742.1
1464114746,5/24/16 20:32,0.04094,29576061.67
1464111135,5/24/16 19:32,0.04108,29527144.21
1464107540,5/24/16 18:32,0.0412,29312685.89
1464103920,5/24/16 17:32,0.04151,29238636.2
1464100328,5/24/16 16:32,0.04184,29245769.26
1464096741,5/24/16 15:32,0.04201,29243291.53
1464093124,5/24/16 14:32,0.04212,29269003.81
1464089534,5/24/16 13:32,0.04221,29732619.36
1464085942,5/24/16 12:32,0.04226,29814218.11
1464082324,5/24/16 11:32,0.04231,29826510.29
1464078731,5/24/16 10:32,0.04238,29825614.49
1464075125,5/24/16 9:32,0.04244,29830160.85
1464071540,5/24/16 8:32,0.0425,29811405.03
1464067933,5/24/16 7:32,0.04257,29813896.55
1464064326,5/24/16 6:32,0.04258,29853331.29
1464060712,5/24/16 5:31,0.04265,29862745.89
1464057140,5/24/16 4:32,0.04268,29808908.92
1464053531,5/24/16 3:32,0.04272,29739271.25
1464049945,5/24/16 2:32,0.0428,29765437.81
1464046330,5/24/16 1:32,0.04292,29834673.05
1464042715,5/24/16 0:31,0.04297,29856539.22
1464039101,5/23/16 23:31,0.04306,29914272.23
1464035500,5/23/16 22:31,0.04317,29956965.85
1464031903,5/23/16 21:31,0.04327,30048999.5
1464028296,5/23/16 20:31,0.04345,29897446.35
1464024693,5/23/16 19:31,0.04348,29959264.35
1464021092,5/23/16 18:31,0.04353,29871669.8
1464017486,5/23/16 17:31,0.04353,29939516.75
1464013883,5/23/16 16:31,0.04354,29959174.76
1464010281,5/23/16 15:31,0.04353,30011609.18
1464006677,5/23/16 14:31,0.0435,30153125.69
1464003101,5/23/16 13:31,0.0435,30162928.91
1463999503,5/23/16 12:31,0.04351,30165915.16
1463995902,5/23/16 11:31,0.04351,30189077.8
1463992301,5/23/16 10:31,0.04351,30187243.58
1463988693,5/23/16 9:31,0.04351,30186554.16
1463985086,5/23/16 8:31,0.04353,30289928.39
1463981481,5/23/16 7:31,0.04354,30270171.76
1463977905,5/23/16 6:31,0.04349,30260862.66
1463974298,5/23/16 5:31,0.04349,30361984.19
1463970692,5/23/16 4:31,0.04349,30374719.24
1463967113,5/23/16 3:31,0.04346,30386615.38
1463963496,5/23/16 2:31,0.04344,30405798.29
1463959888,5/23/16 1:31,0.04339,30449786.87
1463956282,5/23/16 0:31,0.04334,30422859.88
1463952705,5/22/16 23:31,0.04333,30357834.25
1463949098,5/22/16 22:31,0.04332,30391477.59
1463945485,5/22/16 21:31,0.04331,30575179.07
1463941908,5/22/16 20:31,0.04334,30419868.26
1463938304,5/22/16 19:31,0.04343,30349949.74
1463934697,5/22/16 18:31,0.04346,30327056.09
1463931088,5/22/16 17:31,0.04358,30296700.28
1463927509,5/22/16 16:31,0.04368,30231717.67
1463923905,5/22/16 15:31,0.04385,30241639.37
1463920297,5/22/16 14:31,0.04393,30257817.41
1463916694,5/22/16 13:31,0.04399,30265287.79
1463913088,5/22/16 12:31,0.04403,30252262.25
1463909486,5/22/16 11:31,0.04406,30290180.41
1463905903,5/22/16 10:31,0.0441,30291642.04
1463902294,5/22/16 9:31,0.04414,30266186.17
1463898686,5/22/16 8:31,0.04419,30275049.66
1463895107,5/22/16 7:31,0.04423,30234039.59
1463891493,5/22/16 6:31,0.04428,30185740.01
1463887911,5/22/16 5:31,0.0443,30342766.41
1463884304,5/22/16 4:31,0.04431,30343122.56
1463880719,5/22/16 3:31,0.04435,30343673.94
1463877104,5/22/16 2:31,0.0445,30335313.44
1463873488,5/22/16 1:31,0.04459,30391591.98
1463869907,5/22/16 0:31,0.04466,30432665.5
1463866293,5/21/16 23:31,0.04472,30470993.66
1463862711,5/21/16 22:31,0.04475,30530730.61
1463859094,5/21/16 21:31,0.04482,30499098.41
1463855506,5/21/16 20:31,0.04501,30493010.42
1463851896,5/21/16 19:31,0.04515,30454506.46
1463848307,5/21/16 18:31,0.0452,30502965.66
1463844690,5/21/16 17:31,0.04522,30531404.14
1463841107,5/21/16 16:31,0.04527,30534190.99
1463837495,5/21/16 15:31,0.04532,30541564.69
1463833913,5/21/16 14:31,0.04537,30623343.89
1463830298,5/21/16 13:31,0.04539,30617578.09
1463826707,5/21/16 12:31,0.0454,30614566.83
1463823090,5/21/16 11:31,0.04542,30628488.55
1463819505,5/21/16 10:31,0.04549,30638835.95
1463815916,5/21/16 9:31,0.04551,30659327.11
1463812319,5/21/16 8:31,0.04558,30594103.39
1463808695,5/21/16 7:31,0.04579,30451510.36
1463805109,5/21/16 6:31,0.04585,30392593
1463801517,5/21/16 5:31,0.04589,30367405.82
1463797897,5/21/16 4:31,0.04594,30315541.88
1463794306,5/21/16 3:31,0.04598,30228651.69
1463790702,5/21/16 2:31,0.0461,30427473.07
1463787098,5/21/16 1:31,0.04874,30259299.94
1463783520,5/21/16 0:32,0.04891,30381192.18
1463779967,5/20/16 23:32,0.0573,32351779.75
1463776304,5/20/16 22:31,0.04688,30245539.6
1463772794,5/20/16 21:33,0.04697,30561084.42
1463769195,5/20/16 20:33,0.0476,30729908.29
1463765602,5/20/16 19:33,0.04782,30797573.36
1463761999,5/20/16 18:33,0.04789,30849256.4
1463758400,5/20/16 17:33,0.0479,30855014.2
1463754814,5/20/16 16:33,0.04786,30932932.04
1463751218,5/20/16 15:33,0.04789,30918177.9
1463747620,5/20/16 14:33,0.04782,31044600.7
1463743991,5/20/16 13:33,0.04774,31086767.11
1463740396,5/20/16 12:33,0.0477,31109900.29
1463736809,5/20/16 11:33,0.04767,31239838.82
1463733189,5/20/16 10:33,0.04765,31260943.24
1463729613,5/20/16 9:33,0.04772,31058039.68
1463725993,5/20/16 8:33,0.0477,31105050.27
1463722419,5/20/16 7:33,0.0477,31096744.84
1463718788,5/20/16 6:33,0.0477,31062126.77
1463715194,5/20/16 5:33,0.04767,31047758.39
1463711608,5/20/16 4:33,0.04769,30937413.7
1463707986,5/20/16 3:33,0.04768,30874120.04
1463704397,5/20/16 2:33,0.04768,30751416.41
1463700783,5/20/16 1:33,0.04766,30369706.64
1463697185,5/20/16 0:33,0.04768,30313796.5
1463693592,5/19/16 23:33,0.04772,30098616.67
1463689994,5/19/16 22:33,0.04777,30228690.92
1463686385,5/19/16 21:33,0.04784,30399218.47
1463682718,5/19/16 20:31,0.04811,29266640.08
1463679090,5/19/16 19:31,0.04827,31184302.5
1463675494,5/19/16 18:31,0.04827,31205966.4
1463671882,5/19/16 17:31,0.04828,31125495.63
1463668268,5/19/16 16:31,0.04839,31070167.64
1463664686,5/19/16 15:31,0.04844,31255628.14
1463661065,5/19/16 14:31,0.04843,31097722.39
1463657491,5/19/16 13:31,0.04849,31148310.32
1463653878,5/19/16 12:31,0.04858,31288457.28
1463650273,5/19/16 11:31,0.04867,31074949.79
1463646681,5/19/16 10:31,0.04859,31049301.19
1463643087,5/19/16 9:31,0.04857,31062538.65
1463639478,5/19/16 8:31,0.04857,31086515.9
1463635887,5/19/16 7:31,0.04855,31105387.03
1463632283,5/19/16 6:31,0.04855,31026086.16
1463628681,5/19/16 5:31,0.04856,31033043.03
1463625076,5/19/16 4:31,0.04854,31049603.25
1463621493,5/19/16 3:31,0.04854,30991153.87
1463617867,5/19/16 2:31,0.04856,30962477.41
1463614290,5/19/16 1:31,0.04859,30932633.21
1463610685,5/19/16 0:31,0.04859,30828596.99
1463607077,5/18/16 23:31,0.04859,30824134.64
1463603462,5/18/16 22:31,0.04852,30875234.45
1463599884,5/18/16 21:31,0.04852,30927182.69
1463596283,5/18/16 20:31,0.04852,30940960.77
1463592672,5/18/16 19:31,0.04857,30980689.74
1463589064,5/18/16 18:31,0.04862,30950148.08
1463585458,5/18/16 17:30,0.04886,30990596.09
1463581888,5/18/16 16:31,0.049,30877606.01
1463578279,5/18/16 15:31,0.04933,30918731.06
1463574692,5/18/16 14:31,0.04941,30909223.22
1463571088,5/18/16 13:31,0.04948,31023143.09
1463567477,5/18/16 12:31,0.04952,31025638.32
1463563870,5/18/16 11:31,0.04955,31014960.56
1463560262,5/18/16 10:31,0.0496,30959972.48
1463556671,5/18/16 9:31,0.04964,30964747.86
1463553077,5/18/16 8:31,0.04972,30941455.65
1463549477,5/18/16 7:31,0.04977,30949616.8
1463545880,5/18/16 6:31,0.05001,30919507.12
1463542253,5/18/16 5:30,0.05009,30881683.76
1463538655,5/18/16 4:30,0.05011,30861410.01
1463535086,5/18/16 3:31,0.05013,30915526.72
1463531483,5/18/16 2:31,0.05016,30919761.84
1463527877,5/18/16 1:31,0.05018,30852339.24
1463524272,5/18/16 0:31,0.05019,30863578.53
1463520661,5/17/16 23:31,0.0502,30889513.86
1463517088,5/17/16 22:31,0.05023,30890570.58
1463513482,5/17/16 21:31,0.05023,30861770.79
1463509869,5/17/16 20:31,0.05025,30876596.87
1463506266,5/17/16 19:31,0.05026,30903208.11
1463502753,5/17/16 18:32,0.05024,30743674.75
1463499166,5/17/16 17:32,0.05027,30773214.45
1463495555,5/17/16 16:32,0.05027,30800886.25
1463491962,5/17/16 15:32,0.05031,30812179.96
1463488357,5/17/16 14:32,0.05031,30828243.26
1463484747,5/17/16 13:32,0.05035,30713156.12
1463481153,5/17/16 12:32,0.05035,30659433.84
1463477552,5/17/16 11:32,0.05036,30649756.22
1463473951,5/17/16 10:32,0.0504,30723664.11
1463470347,5/17/16 9:32,0.05043,30669038.45
1463466743,5/17/16 8:32,0.05048,30619743.52
1463463146,5/17/16 7:32,0.05052,30604786.96
1463459548,5/17/16 6:32,0.05053,30598913.77
1463455944,5/17/16 5:32,0.05053,30592261.88
1463452345,5/17/16 4:32,0.05055,30605630.77
1463448754,5/17/16 3:32,0.05055,30605848.55
1463445169,5/17/16 2:32,0.05056,30593558.85
1463441541,5/17/16 1:32,0.05056,30701335.26
1463437967,5/17/16 0:32,0.0506,30711943.86
1463434357,5/16/16 23:32,0.05065,30689718.72
1463430756,5/16/16 22:32,0.05074,30716323.79
