Date,Rate,,,,,,,,
15/02/2015,118.755,,,,,,,,
16/02/2015,118.755,,,,,,,,
17/02/2015,118.449,,,,,,,,
18/02/2015,119.0155,,,,,,,,
19/02/2015,119.187,,,,,,,,
20/02/2015,118.852,,,,,,,,
21/02/2015,118.685,,,,,,,,
22/02/2015,119.025,,,,,,,,
23/02/2015,119.025,,,,,,,,
24/02/2015,118.886,,,,,,,,
25/02/2015,119.082,,,,,,,,
26/02/2015,118.889,,,,,,,,
27/02/2015,119.33,,,,,,,,
28/02/2015,119.706,,,,,,,,
1/3/15,119.575,,,,,,,,
2/3/15,119.575,,,,,,,,
3/3/15,120.102,,,,,,,,
4/3/15,119.4585,,,,,,,,
5/3/15,119.739,,,,,,,,
6/3/15,120.2245,,,,,,,,
7/3/15,120.861,,,,,,,,
8/3/15,120.8225,,,,,,,,
9/3/15,120.8225,,,,,,,,
10/3/15,121.2,,,,,,,,
11/3/15,121.237,,,,,,,,
12/3/15,121.448,,,,,,,,
13/03/2015,121.329,,,,,,,,
14/03/2015,121.245,,,,,,,,
15/03/2015,121.395,,,,,,,,
16/03/2015,121.395,,,,,,,,
17/03/2015,121.3045,,,,,,,,
18/03/2015,121.334,,,,,,,,
19/03/2015,120.8675,,,,,,,,
20/03/2015,120.8955,,,,,,,,
21/03/2015,120.125,,,,,,,,
22/03/2015,120.035,,,,,,,,
23/03/2015,120.035,,,,,,,,
24/03/2015,119.767,,,,,,,,
25/03/2015,119.75,,,,,,,,
26/03/2015,119.464,,,,,,,,
27/03/2015,119.0075,,,,,,,,
28/03/2015,119.215,,,,,,,,
29/03/2015,119.145,,,,,,,,
30/03/2015,119.145,,,,,,,,
31/03/2015,120.0565,,,,,,,,
1/4/15,119.917,,,,,,,,
2/4/15,119.505,,,,,,,,
3/4/15,119.717,,,,,,,,
4/4/15,119.019,,,,,,,,
5/4/15,119.715,,,,,,,,
6/4/15,119.715,,,,,,,,
7/4/15,119.236,,,,,,,,
8/4/15,120.3355,,,,,,,,
9/4/15,119.903,,,,,,,,
10/4/15,120.556,,,,,,,,
11/4/15,120.168,,,,,,,,
12/4/15,120.215,,,,,,,,
13/04/2015,120.215,,,,,,,,
14/04/2015,120.091,,,,,,,,
15/04/2015,119.329,,,,,,,,
16/04/2015,118.913,,,,,,,,
17/04/2015,118.9835,,,,,,,,
18/04/2015,118.901,,,,,,,,
19/04/2015,118.915,,,,,,,,
20/04/2015,118.915,,,,,,,,
21/04/2015,119.42,,,,,,,,
22/04/2015,119.628,,,,,,,,
23/04/2015,119.858,,,,,,,,
24/04/2015,119.561,,,,,,,,
25/04/2015,118.954,,,,,,,,
26/04/2015,118.975,,,,,,,,
27/04/2015,118.975,,,,,,,,
28/04/2015,119.027,,,,,,,,
29/04/2015,118.9205,,,,,,,,
30/04/2015,118.6635,,,,,,,,
1/5/15,119.608,,,,,,,,
2/5/15,120.244,,,,,,,,
3/5/15,119.375,,,,,,,,
4/5/15,119.375,,,,,,,,
5/5/15,120.18,,,,,,,,
6/5/15,119.9145,,,,,,,,
7/5/15,119.426,,,,,,,,
8/5/15,119.8135,,,,,,,,
9/5/15,119.677,,,,,,,,
10/5/15,119.805,,,,,,,,
11/5/15,119.805,,,,,,,,
12/5/15,120.0185,,,,,,,,
13/05/2015,119.9245,,,,,,,,
14/05/2015,119.1055,,,,,,,,
15/05/2015,119.181,,,,,,,,
16/05/2015,119.358,,,,,,,,
17/05/2015,119.325,,,,,,,,
18/05/2015,119.325,,,,,,,,
19/05/2015,119.935,,,,,,,,
20/05/2015,120.702,,,,,,,,
21/05/2015,121.2295,,,,,,,,
22/05/2015,121.042,,,,,,,,
23/05/2015,121.546,,,,,,,,
24/05/2015,121.565,,,,,,,,
25/05/2015,121.565,,,,,,,,
26/05/2015,121.4875,,,,,,,,
27/05/2015,122.9555,,,,,,,,
28/05/2015,123.821,,,,,,,,
29/05/2015,123.7495,,,,,,,,
30/05/2015,124.021,,,,,,,,
31/05/2015,124.145,,,,,,,,
1/6/15,124.145,,,,,,,,
2/6/15,124.792,,,,,,,,
3/6/15,123.9175,,,,,,,,
4/6/15,124.405,,,,,,,,
5/6/15,124.423,,,,,,,,
6/6/15,125.579,,,,,,,,
7/6/15,125.635,,,,,,,,
8/6/15,125.635,,,,,,,,
9/6/15,124.8585,,,,,,,,
10/6/15,124.423,,,,,,,,
11/6/15,122.671,,,,,,,,
12/6/15,123.622,,,,,,,,
13/06/2015,123.389,,,,,,,,
14/06/2015,123.385,,,,,,,,
15/06/2015,123.385,,,,,,,,
16/06/2015,123.4535,,,,,,,,
17/06/2015,123.3815,,,,,,,,
18/06/2015,124.209,,,,,,,,
19/06/2015,122.976,,,,,,,,
20/06/2015,122.5985,,,,,,,,
21/06/2015,122.675,,,,,,,,
22/06/2015,122.675,,,,,,,,
23/06/2015,123.378,,,,,,,,
24/06/2015,123.824,,,,,,,,
25/06/2015,123.808,,,,,,,,
26/06/2015,123.551,,,,,,,,
27/06/2015,123.89,,,,,,,,
28/06/2015,123.875,,,,,,,,
29/06/2015,123.875,,,,,,,,
30/06/2015,122.465,,,,,,,,
1/7/15,122.364,,,,,,,,
2/7/15,123.174,,,,,,,,
3/7/15,123.135,,,,,,,,
4/7/15,122.76,,,,,,,,
5/7/15,122.815,,,,,,,,
6/7/15,122.815,,,,,,,,
7/7/15,122.4375,,,,,,,,
8/7/15,122.445,,,,,,,,
9/7/15,120.78,,,,,,,,
10/7/15,121.335,,,,,,,,
11/7/15,122.815,,,,,,,,
12/7/15,122.755,,,,,,,,
13/07/2015,122.755,,,,,,,,
14/07/2015,123.3795,,,,,,,,
15/07/2015,123.315,,,,,,,,
16/07/2015,123.795,,,,,,,,
17/07/2015,124.108,,,,,,,,
18/07/2015,124.07,,,,,,,,
19/07/2015,124.075,,,,,,,,
20/07/2015,124.075,,,,,,,,
21/07/2015,124.259,,,,,,,,
22/07/2015,123.8035,,,,,,,,
23/07/2015,124.039,,,,,,,,
24/07/2015,123.7775,,,,,,,,
25/07/2015,123.6985,,,,,,,,
26/07/2015,123.805,,,,,,,,
27/07/2015,123.805,,,,,,,,
28/07/2015,123.18,,,,,,,,
29/07/2015,123.56,,,,,,,,
30/07/2015,123.808,,,,,,,,
31/07/2015,124.299,,,,,,,,
1/8/15,123.879,,,,,,,,
2/8/15,123.925,,,,,,,,
3/8/15,123.925,,,,,,,,
4/8/15,123.9045,,,,,,,,
5/8/15,124.166,,,,,,,,
6/8/15,124.765,,,,,,,,
7/8/15,124.7355,,,,,,,,
8/8/15,124.155,,,,,,,,
9/8/15,124.235,,,,,,,,
10/8/15,124.235,,,,,,,,
11/8/15,124.565,,,,,,,,
12/8/15,125.14,,,,,,,,
13/08/2015,124.12,,,,,,,,
14/08/2015,124.395,,,,,,,,
15/08/2015,124.223,,,,,,,,
16/08/2015,124.305,,,,,,,,
17/08/2015,124.305,,,,,,,,
18/08/2015,124.3685,,,,,,,,
19/08/2015,124.3895,,,,,,,,
20/08/2015,123.92,,,,,,,,
21/08/2015,123.542,,,,,,,,
22/08/2015,122.137,,,,,,,,
23/08/2015,122.045,,,,,,,,
24/08/2015,122.045,,,,,,,,
25/08/2015,119.1285,,,,,,,,
26/08/2015,119.678,,,,,,,,
27/08/2015,119.6465,,,,,,,,
28/08/2015,121.075,,,,,,,,
29/08/2015,121.256,,,,,,,,
30/08/2015,121.715,,,,,,,,
31/08/2015,121.715,,,,,,,,
1/9/15,121.149,,,,,,,,
2/9/15,119.727,,,,,,,,
3/9/15,120.11,,,,,,,,
4/9/15,119.905,,,,,,,,
5/9/15,118.869,,,,,,,,
6/9/15,119.025,,,,,,,,
7/9/15,119.025,,,,,,,,
8/9/15,119.35,,,,,,,,
9/9/15,119.935,,,,,,,,
10/9/15,120.955,,,,,,,,
11/9/15,120.655,,,,,,,,
12/9/15,120.521,,,,,,,,
13/09/2015,120.575,,,,,,,,
14/09/2015,120.575,,,,,,,,
15/09/2015,120.093,,,,,,,,
16/09/2015,120.47,,,,,,,,
17/09/2015,120.554,,,,,,,,
18/09/2015,120.865,,,,,,,,
19/09/2015,119.816,,,,,,,,
20/09/2015,119.995,,,,,,,,
21/09/2015,119.995,,,,,,,,
22/09/2015,120.4645,,,,,,,,
23/09/2015,119.975,,,,,,,,
24/09/2015,120.193,,,,,,,,
25/09/2015,119.7,,,,,,,,
26/09/2015,120.889,,,,,,,,
27/09/2015,120.604,,,,,,,,
28/09/2015,120.604,,,,,,,,
29/09/2015,119.8065,,,,,,,,
30/09/2015,119.845,,,,,,,,
1/10/15,119.935,,,,,,,,
2/10/15,119.7665,,,,,,,,
3/10/15,119.845,,,,,,,,
4/10/15,119.9025,,,,,,,,
5/10/15,119.9025,,,,,,,,
6/10/15,120.489,,,,,,,,
7/10/15,120.22,,,,,,,,
8/10/15,119.946,,,,,,,,
9/10/15,119.8855,,,,,,,,
10/10/15,120.265,,,,,,,,
11/10/15,120.265,,,,,,,,
12/10/15,120.265,,,,,,,,
13/10/2015,119.924,,,,,,,,
14/10/2015,119.805,,,,,,,,
15/10/2015,119.21,,,,,,,,
16/10/2015,118.3465,,,,,,,,
17/10/2015,119.44,,,,,,,,
18/10/2015,119.455,,,,,,,,
19/10/2015,119.455,,,,,,,,
20/10/2015,119.47,,,,,,,,
21/10/2015,119.8215,,,,,,,,
22/10/2015,120.005,,,,,,,,
23/10/2015,120.68,,,,,,,,
24/10/2015,121.215,,,,,,,,
25/10/2015,121.465,,,,,,,,
26/10/2015,121.465,,,,,,,,
27/10/2015,120.975,,,,,,,,
28/10/2015,120.3855,,,,,,,,
29/10/2015,120.5335,,,,,,,,
30/10/2015,121.165,,,,,,,,
31/10/2015,120.721,,,,,,,,
1/11/15,120.6215,,,,,,,,
2/11/15,120.6215,,,,,,,,
3/11/15,120.7005,,,,,,,,
4/11/15,121.22,,,,,,,,
5/11/15,121.5825,,,,,,,,
6/11/15,121.6785,,,,,,,,
7/11/15,123.2055,,,,,,,,
8/11/15,123.155,,,,,,,,
9/11/15,123.155,,,,,,,,
10/11/15,123.0255,,,,,,,,
11/11/15,123.2415,,,,,,,,
12/11/15,122.925,,,,,,,,
13/11/2015,122.852,,,,,,,,
14/11/2015,122.85,,,,,,,,
15/11/2015,122.645,,,,,,,,
16/11/2015,122.645,,,,,,,,
17/11/2015,123.1205,,,,,,,,
18/11/2015,123.465,,,,,,,,
19/11/2015,123.542,,,,,,,,
20/11/2015,122.7385,,,,,,,,
21/11/2015,122.805,,,,,,,,
22/11/2015,122.7875,,,,,,,,
23/11/2015,122.7875,,,,,,,,
24/11/2015,123.007,,,,,,,,
25/11/2015,122.455,,,,,,,,
26/11/2015,122.692,,,,,,,,
27/11/2015,122.605,,,,,,,,
28/11/2015,122.845,,,,,,,,
29/11/2015,122.845,,,,,,,,
30/11/2015,122.845,,,,,,,,
1/12/15,123.215,,,,,,,,
2/12/15,122.8825,,,,,,,,
3/12/15,123.48,,,,,,,,
4/12/15,123.0395,,,,,,,,
5/12/15,123.055,,,,,,,,
6/12/15,123.175,,,,,,,,
7/12/15,123.175,,,,,,,,
8/12/15,123.3,,,,,,,,
9/12/15,122.954,,,,,,,,
10/12/15,121.785,,,,,,,,
11/12/15,121.45,,,,,,,,
12/12/15,121.05,,,,,,,,
13/12/2015,120.865,,,,,,,,
14/12/2015,120.865,,,,,,,,
15/12/2015,120.4535,,,,,,,,
16/12/2015,121.6165,,,,,,,,
17/12/2015,121.8245,,,,,,,,
18/12/2015,122.745,,,,,,,,
19/12/2015,121.2955,,,,,,,,
20/12/2015,121.149,,,,,,,,
21/12/2015,121.149,,,,,,,,
22/12/2015,120.945,,,,,,,,
23/12/2015,120.9225,,,,,,,,
24/12/2015,120.95,,,,,,,,
25/12/2015,120.275,,,,,,,,
26/12/2015,120.3405,,,,,,,,
27/12/2015,120.435,,,,,,,,
28/12/2015,120.435,,,,,,,,
29/12/2015,120.305,,,,,,,,
30/12/2015,120.445,,,,,,,,
31/12/2015,120.5745,,,,,,,,
1/1/16,120.2435,,,,,,,,
2/1/16,120.265,,,,,,,,
3/1/16,120.265,,,,,,,,
4/1/16,120.265,,,,,,,,
5/1/16,119.335,,,,,,,,
6/1/16,118.988,,,,,,,,
7/1/16,118.587,,,,,,,,
8/1/16,118.038,,,,,,,,
9/1/16,117.725,,,,,,,,
10/1/16,117.2445,,,,,,,,
11/1/16,117.2445,,,,,,,,
12/1/16,117.457,,,,,,,,
13/01/2016,117.815,,,,,,,,
14/01/2016,118.15,,,,,,,,
15/01/2016,118.0265,,,,,,,,
16/01/2016,116.862,,,,,,,,
17/01/2016,116.997,,,,,,,,
18/01/2016,116.997,,,,,,,,
19/01/2016,117.365,,,,,,,,
20/01/2016,117.685,,,,,,,,
21/01/2016,116.341,,,,,,,,
22/01/2016,117.65,,,,,,,,
23/01/2016,118.35,,,,,,,,
24/01/2016,118.775,,,,,,,,
25/01/2016,118.775,,,,,,,,
26/01/2016,118.59,,,,,,,,
27/01/2016,118.5025,,,,,,,,
